0 <= x < 30; y0 = 61.0000 + 0.6333x; linear_interpolation
22080 <= x < 22110; y736 = -14636.0000 + -0.6667x; linear_interpolation
22110 <= x < 22140; y737 = 14067.0000 + 0.6333x; linear_interpolation
22140 <= x < 22170; y738 = -13201.0000 + -0.6000x; linear_interpolation
22170 <= x < 22200; y739 = 13367.0000 + 0.6000x; linear_interpolation
22200 <= x < 22230; y740 = -13237.0000 + -0.6000x; linear_interpolation
22230 <= x < 22260; y741 = 14885.0000 + 0.6667x; linear_interpolation
22260 <= x < 22290; y742 = -15497.0000 + -0.7000x; linear_interpolation
22290 <= x < 22320; y743 = 14924.0000 + 0.6667x; linear_interpolation
22320 <= x < 22350; y744 = 84.0000 + 0.0000x; linear_interpolation
22350 <= x < 22380; y745 = -14071.0000 + -0.6333x; linear_interpolation
22380 <= x < 22410; y746 = 3795.0000 + 0.1667x; linear_interpolation
22410 <= x < 22440; y747 = 4552.0000 + 0.2000x; linear_interpolation
22440 <= x < 22470; y748 = 5312.0000 + 0.2333x; linear_interpolation
22470 <= x < 22500; y749 = -11901.0000 + -0.5333x; linear_interpolation
22500 <= x < 22530; y750 = 12067.0000 + 0.5333x; linear_interpolation
22530 <= x < 22560; y751 = 2336.0000 + 0.1000x; linear_interpolation
22560 <= x < 22590; y752 = -2170.0000 + -0.1000x; linear_interpolation
22590 <= x < 22620; y753 = -14224.0000 + -0.6333x; linear_interpolation
22620 <= x < 22650; y754 = -5214.0000 + -0.2333x; linear_interpolation
22650 <= x < 22680; y755 = 19687.0000 + 0.8667x; linear_interpolation
22680 <= x < 22710; y756 = 3863.0000 + 0.1667x; linear_interpolation
22710 <= x < 22740; y757 = -5968.0000 + -0.2667x; linear_interpolation
22740 <= x < 22770; y758 = 3870.0000 + 0.1667x; linear_interpolation
22770 <= x < 22800; y759 = 1603.0000 + 0.0667x; linear_interpolation
22800 <= x < 22830; y760 = -11313.0000 + -0.5000x; linear_interpolation
22830 <= x < 22860; y761 = -2211.0000 + -0.1000x; linear_interpolation
22860 <= x < 22890; y762 = -3741.0000 + -0.1667x; linear_interpolation
22890 <= x < 22920; y763 = 17613.0000 + 0.7667x; linear_interpolation
22920 <= x < 22950; y764 = -1441.0000 + -0.0667x; linear_interpolation
22950 <= x < 22980; y765 = -13685.0000 + -0.6000x; linear_interpolation
22980 <= x < 23010; y766 = 13855.0000 + 0.6000x; linear_interpolation
23010 <= x < 23040; y767 = -4517.0000 + -0.2000x; linear_interpolation
23040 <= x < 23070; y768 = -35249.0000 + -1.5333x; linear_interpolation
23070 <= x < 23100; y769 = -4581.0000 + -0.2000x; linear_interpolation
23100 <= x < 23130; y770 = 43147.0000 + 1.8667x; linear_interpolation
23130 <= x < 23160; y771 = -3001.0000 + -0.1333x; linear_interpolation
23160 <= x < 23190; y772 = 4711.0000 + 0.2000x; linear_interpolation
23190 <= x < 23220; y773 = -3780.0000 + -0.1667x; linear_interpolation
23220 <= x < 23250; y774 = -9982.0000 + -0.4333x; linear_interpolation
23250 <= x < 23280; y775 = 14792.0000 + 0.6333x; linear_interpolation
23280 <= x < 23310; y776 = -19314.0000 + -0.8333x; linear_interpolation
23310 <= x < 23340; y777 = 9385.0000 + 0.4000x; linear_interpolation
23340 <= x < 23370; y778 = -4595.0000 + -0.2000x; linear_interpolation
23370 <= x < 23400; y779 = 7857.0000 + 0.3333x; linear_interpolation
23400 <= x < 23430; y780 = 6317.0000 + 0.2667x; linear_interpolation
23430 <= x < 23460; y781 = -3039.0000 + -0.1333x; linear_interpolation
23460 <= x < 23490; y782 = -10085.0000 + -0.4333x; linear_interpolation
23490 <= x < 23520; y783 = 7115.0000 + 0.3000x; linear_interpolation
23520 <= x < 23550; y784 = 6349.0000 + 0.2667x; linear_interpolation
23550 <= x < 23580; y785 = 85.0000 + 0.0000x; linear_interpolation
23580 <= x < 23610; y786 = 1657.0000 + 0.0667x; linear_interpolation
23610 <= x < 23640; y787 = -8570.0000 + -0.3667x; linear_interpolation
23640 <= x < 23670; y788 = 7168.0000 + 0.3000x; linear_interpolation
23670 <= x < 23700; y789 = -12539.0000 + -0.5333x; linear_interpolation
23700 <= x < 23730; y790 = 10339.0000 + 0.4333x; linear_interpolation
23730 <= x < 23760; y791 = 4037.0000 + 0.1667x; linear_interpolation
23760 <= x < 23790; y792 = -17337.0000 + -0.7333x; linear_interpolation
23790 <= x < 23820; y793 = 1651.0000 + 0.0667x; linear_interpolation
23820 <= x < 23850; y794 = 17535.0000 + 0.7333x; linear_interpolation
23850 <= x < 23880; y795 = -18991.0000 + -0.8000x; linear_interpolation
23880 <= x < 23910; y796 = 16781.0000 + 0.7000x; linear_interpolation
23910 <= x < 23940; y797 = -14260.0000 + -0.6000x; linear_interpolation
23940 <= x < 23970; y798 = 68.0000 + 0.0000x; linear_interpolation
23970 <= x < 24000; y799 = 13651.0000 + 0.5667x; linear_interpolation
24000 <= x < 24030; y800 = -15115.0000 + -0.6333x; linear_interpolation
24030 <= x < 24060; y801 = 16086.0000 + 0.6667x; linear_interpolation
24060 <= x < 24090; y802 = 888.0000 + 0.0333x; linear_interpolation
24090 <= x < 24120; y803 = -3928.0000 + -0.1667x; linear_interpolation
24120 <= x < 24150; y804 = 3298.0000 + 0.1333x; linear_interpolation
24150 <= x < 24180; y805 = -14404.0000 + -0.6000x; linear_interpolation
24180 <= x < 24210; y806 = -1544.0000 + -0.0667x; linear_interpolation
24210 <= x < 24240; y807 = 873.0000 + 0.0333x; linear_interpolation
24240 <= x < 24270; y808 = 17843.0000 + 0.7333x; linear_interpolation
24270 <= x < 24300; y809 = -7192.0000 + -0.3000x; linear_interpolation
24300 <= x < 24330; y810 = 4130.0000 + 0.1667x; linear_interpolation
24330 <= x < 24360; y811 = 896.0000 + 0.0333x; linear_interpolation
24360 <= x < 24390; y812 = 898.0000 + 0.0333x; linear_interpolation
24390 <= x < 24420; y813 = -2352.0000 + -0.1000x; linear_interpolation
24420 <= x < 24450; y814 = 898.0000 + 0.0333x; linear_interpolation
24450 <= x < 24480; y815 = 900.0000 + 0.0333x; linear_interpolation
24480 <= x < 24510; y816 = -15418.0000 + -0.6333x; linear_interpolation
24510 <= x < 24540; y817 = 14773.0000 + 0.6000x; linear_interpolation
24540 <= x < 24570; y818 = -14639.0000 + -0.6000x; linear_interpolation
24570 <= x < 24600; y819 = 886.0000 + 0.0333x; linear_interpolation
24600 <= x < 24630; y820 = 16468.0000 + 0.6667x; linear_interpolation
24630 <= x < 24660; y821 = -733.0000 + -0.0333x; linear_interpolation
24660 <= x < 24690; y822 = 909.0000 + 0.0333x; linear_interpolation
24690 <= x < 24720; y823 = -2381.0000 + -0.1000x; linear_interpolation
24720 <= x < 24750; y824 = 2557.0000 + 0.1000x; linear_interpolation
24750 <= x < 24780; y825 = -1562.0000 + -0.0667x; linear_interpolation
24780 <= x < 24810; y826 = 912.0000 + 0.0333x; linear_interpolation
24810 <= x < 24840; y827 = -740.0000 + -0.0333x; linear_interpolation
24840 <= x < 24870; y828 = 1742.0000 + 0.0667x; linear_interpolation
24870 <= x < 24900; y829 = -14834.0000 + -0.6000x; linear_interpolation
24900 <= x < 24930; y830 = 15010.0000 + 0.6000x; linear_interpolation
24930 <= x < 24960; y831 = -15701.0000 + -0.6333x; linear_interpolation
24960 <= x < 24990; y832 = 14213.0000 + 0.5667x; linear_interpolation
24990 <= x < 25020; y833 = -2413.0000 + -0.1000x; linear_interpolation
25020 <= x < 25050; y834 = -14929.0000 + -0.6000x; linear_interpolation
25050 <= x < 25080; y835 = 16765.0000 + 0.6667x; linear_interpolation
25080 <= x < 25110; y836 = 1757.0000 + 0.0667x; linear_interpolation
25110 <= x < 25140; y837 = -1587.0000 + -0.0667x; linear_interpolation
25140 <= x < 25170; y838 = -753.0000 + -0.0333x; linear_interpolation
25170 <= x < 25200; y839 = 2601.0000 + 0.1000x; linear_interpolation
25200 <= x < 25230; y840 = -16713.0000 + -0.6667x; linear_interpolation
25230 <= x < 25260; y841 = 16046.0000 + 0.6333x; linear_interpolation
25260 <= x < 25290; y842 = -15070.0000 + -0.6000x; linear_interpolation
25290 <= x < 25320; y843 = -4990.0000 + -0.2000x; linear_interpolation
25320 <= x < 25350; y844 = 23694.0000 + 0.9333x; linear_interpolation
25350 <= x < 25380; y845 = -4135.0000 + -0.1667x; linear_interpolation
25380 <= x < 25410; y846 = 2623.0000 + 0.1000x; linear_interpolation
25410 <= x < 25440; y847 = -45650.0000 + -1.8000x; linear_interpolation
25440 <= x < 25470; y848 = -5054.0000 + -0.2000x; linear_interpolation
25470 <= x < 25500; y849 = 46723.0000 + 1.8333x; linear_interpolation
25500 <= x < 25530; y850 = 2633.0000 + 0.1000x; linear_interpolation
25530 <= x < 25560; y851 = -3318.0000 + -0.1333x; linear_interpolation
25560 <= x < 25590; y852 = 4342.0000 + 0.1667x; linear_interpolation
25590 <= x < 25620; y853 = -16120.0000 + -0.6333x; linear_interpolation
25620 <= x < 25650; y854 = -1640.0000 + -0.0667x; linear_interpolation
25650 <= x < 25680; y855 = 14601.0000 + 0.5667x; linear_interpolation
25680 <= x < 25710; y856 = 3507.0000 + 0.1333x; linear_interpolation
25710 <= x < 25740; y857 = -14482.0000 + -0.5667x; linear_interpolation
25740 <= x < 25770; y858 = 15514.0000 + 0.6000x; linear_interpolation
25770 <= x < 25800; y859 = -3348.0000 + -0.1333x; linear_interpolation
25800 <= x < 25830; y860 = -14536.0000 + -0.5667x; linear_interpolation
25830 <= x < 25860; y861 = 928.0000 + 0.0333x; linear_interpolation
25860 <= x < 25890; y862 = 17308.0000 + 0.6667x; linear_interpolation
25890 <= x < 25920; y863 = -15446.0000 + -0.6000x; linear_interpolation
25920 <= x < 25950; y864 = -794.0000 + -0.0333x; linear_interpolation
25950 <= x < 25980; y865 = 934.0000 + 0.0333x; linear_interpolation
25980 <= x < 26010; y866 = -1662.0000 + -0.0667x; linear_interpolation
26010 <= x < 26040; y867 = 935.0000 + 0.0333x; linear_interpolation
26040 <= x < 26070; y868 = -1667.0000 + -0.0667x; linear_interpolation
26070 <= x < 26100; y869 = 1805.0000 + 0.0667x; linear_interpolation
26100 <= x < 26130; y870 = 15729.0000 + 0.6000x; linear_interpolation
26130 <= x < 26160; y871 = 87.0000 + 0.0000x; linear_interpolation
26160 <= x < 26190; y872 = 87.0000 + 0.0000x; linear_interpolation
26190 <= x < 26220; y873 = -2532.0000 + -0.1000x; linear_interpolation
26220 <= x < 26250; y874 = -14774.0000 + -0.5667x; linear_interpolation
26250 <= x < 26280; y875 = 1817.0000 + 0.0667x; linear_interpolation
26280 <= x < 26310; y876 = 16713.0000 + 0.6333x; linear_interpolation
26310 <= x < 26340; y877 = -15698.0000 + -0.6000x; linear_interpolation
26340 <= x < 26370; y878 = -4320.0000 + -0.1667x; linear_interpolation
26370 <= x < 26400; y879 = 15887.0000 + 0.6000x; linear_interpolation
26400 <= x < 26430; y880 = 4483.0000 + 0.1667x; linear_interpolation
26430 <= x < 26460; y881 = -15770.0000 + -0.6000x; linear_interpolation
26460 <= x < 26490; y882 = 14182.0000 + 0.5333x; linear_interpolation
26490 <= x < 26520; y883 = -1680.0000 + -0.0667x; linear_interpolation
26520 <= x < 26550; y884 = 1852.0000 + 0.0667x; linear_interpolation
26550 <= x < 26580; y885 = -799.0000 + -0.0333x; linear_interpolation
26580 <= x < 26610; y886 = -15863.0000 + -0.6000x; linear_interpolation
26610 <= x < 26640; y887 = 12485.0000 + 0.4667x; linear_interpolation
26640 <= x < 26670; y888 = -12351.0000 + -0.4667x; linear_interpolation
26670 <= x < 26700; y889 = 19625.0000 + 0.7333x; linear_interpolation
26700 <= x < 26730; y890 = -19491.0000 + -0.7333x; linear_interpolation
26730 <= x < 26760; y891 = 1849.0000 + 0.0667x; linear_interpolation
26760 <= x < 26790; y892 = -3499.0000 + -0.1333x; linear_interpolation
26790 <= x < 26820; y893 = 20604.0000 + 0.7667x; linear_interpolation
26820 <= x < 26850; y894 = -18686.0000 + -0.7000x; linear_interpolation
26850 <= x < 26880; y895 = 2752.0000 + 0.1000x; linear_interpolation
26880 <= x < 26910; y896 = 15302.0000 + 0.5667x; linear_interpolation
26910 <= x < 26940; y897 = -16059.0000 + -0.6000x; linear_interpolation
26940 <= x < 26970; y898 = 14437.0000 + 0.5333x; linear_interpolation
26970 <= x < 27000; y899 = -13400.0000 + -0.5000x; linear_interpolation
27000 <= x < 27030; y900 = 14470.0000 + 0.5333x; linear_interpolation
27030 <= x < 27060; y901 = -13429.0000 + -0.5000x; linear_interpolation
27060 <= x < 27090; y902 = 12699.0000 + 0.4667x; linear_interpolation
27090 <= x < 27120; y903 = -13460.0000 + -0.5000x; linear_interpolation
27120 <= x < 27150; y904 = -3546.0000 + -0.1333x; linear_interpolation
27150 <= x < 27180; y905 = 4591.0000 + 0.1667x; linear_interpolation
27180 <= x < 27210; y906 = 13661.0000 + 0.5000x; linear_interpolation
27210 <= x < 27240; y907 = -13519.0000 + -0.5000x; linear_interpolation
27240 <= x < 27270; y908 = -2653.0000 + -0.1000x; linear_interpolation
27270 <= x < 27300; y909 = 15521.0000 + 0.5667x; linear_interpolation
27300 <= x < 27330; y910 = -16295.0000 + -0.6000x; linear_interpolation
27330 <= x < 27360; y911 = 978.0000 + 0.0333x; linear_interpolation
27360 <= x < 27390; y912 = 980.0000 + 0.0333x; linear_interpolation
27390 <= x < 27420; y913 = 10112.0000 + 0.3667x; linear_interpolation
27420 <= x < 27450; y914 = 9220.0000 + 0.3333x; linear_interpolation
27450 <= x < 27480; y915 = -7230.0000 + -0.2667x; linear_interpolation
27480 <= x < 27510; y916 = -13658.0000 + -0.5000x; linear_interpolation
27510 <= x < 27540; y917 = 14739.0000 + 0.5333x; linear_interpolation
27540 <= x < 27570; y918 = -13687.0000 + -0.5000x; linear_interpolation
27570 <= x < 27600; y919 = 1906.0000 + 0.0667x; linear_interpolation
27600 <= x < 27630; y920 = 12950.0000 + 0.4667x; linear_interpolation
27630 <= x < 27660; y921 = -11889.0000 + -0.4333x; linear_interpolation
27660 <= x < 27690; y922 = -7305.0000 + -0.2667x; linear_interpolation
27690 <= x < 27720; y923 = -19320.0000 + -0.7000x; linear_interpolation
27720 <= x < 27750; y924 = -11970.0000 + -0.4333x; linear_interpolation
27750 <= x < 27780; y925 = 45354.0000 + 1.6333x; linear_interpolation
27780 <= x < 27810; y926 = -11034.0000 + -0.4000x; linear_interpolation
27810 <= x < 27840; y927 = 9336.0000 + 0.3333x; linear_interpolation
27840 <= x < 27870; y928 = 7500.0000 + 0.2667x; linear_interpolation
27870 <= x < 27900; y929 = -11993.0000 + -0.4333x; linear_interpolation
27900 <= x < 27930; y930 = -3649.0000 + -0.1333x; linear_interpolation
27930 <= x < 27960; y931 = 12170.0000 + 0.4333x; linear_interpolation
27960 <= x < 27990; y932 = 7536.0000 + 0.2667x; linear_interpolation
27990 <= x < 28020; y933 = -7376.0000 + -0.2667x; linear_interpolation
28020 <= x < 28050; y934 = -12062.0000 + -0.4333x; linear_interpolation
28050 <= x < 28080; y935 = 5677.0000 + 0.2000x; linear_interpolation
28080 <= x < 28110; y936 = 13177.0000 + 0.4667x; linear_interpolation
28110 <= x < 28140; y937 = -13031.0000 + -0.4667x; linear_interpolation
28140 <= x < 28170; y938 = 12267.0000 + 0.4333x; linear_interpolation
28170 <= x < 28200; y939 = -5548.0000 + -0.2000x; linear_interpolation
28200 <= x < 28230; y940 = -11200.0000 + -0.4000x; linear_interpolation
28230 <= x < 28260; y941 = 9478.0000 + 0.3333x; linear_interpolation
28260 <= x < 28290; y942 = 7614.0000 + 0.2667x; linear_interpolation
28290 <= x < 28320; y943 = -8401.0000 + -0.3000x; linear_interpolation
28320 <= x < 28350; y944 = 8573.0000 + 0.3000x; linear_interpolation
28350 <= x < 28380; y945 = -10309.0000 + -0.3667x; linear_interpolation
28380 <= x < 28410; y946 = -9385.0000 + -0.3333x; linear_interpolation
28410 <= x < 28440; y947 = 11429.0000 + 0.4000x; linear_interpolation
28440 <= x < 28470; y948 = 10505.0000 + 0.3667x; linear_interpolation
28470 <= x < 28500; y949 = -16994.0000 + -0.6000x; linear_interpolation
28500 <= x < 28530; y950 = -1830.0000 + -0.0667x; linear_interpolation
28530 <= x < 28560; y951 = 17186.0000 + 0.6000x; linear_interpolation
28560 <= x < 28590; y952 = -866.0000 + -0.0333x; linear_interpolation
28590 <= x < 28620; y953 = 2944.0000 + 0.1000x; linear_interpolation
28620 <= x < 28650; y954 = -18992.0000 + -0.6667x; linear_interpolation
28650 <= x < 28680; y955 = 18213.0000 + 0.6333x; linear_interpolation
28680 <= x < 28710; y956 = -18077.0000 + -0.6333x; linear_interpolation
28710 <= x < 28740; y957 = -889.0000 + -0.0333x; linear_interpolation
28740 <= x < 28770; y958 = 67.0000 + 0.0000x; linear_interpolation
28770 <= x < 28800; y959 = 18288.0000 + 0.6333x; linear_interpolation
28800 <= x < 28830; y960 = 1046.0000 + 0.0333x; linear_interpolation
28830 <= x < 28860; y961 = -19133.0000 + -0.6667x; linear_interpolation
28860 <= x < 28890; y962 = 67.0000 + 0.0000x; linear_interpolation
28890 <= x < 28920; y963 = 16438.0000 + 0.5667x; linear_interpolation
28920 <= x < 28950; y964 = -15340.0000 + -0.5333x; linear_interpolation
28950 <= x < 28980; y965 = -1862.0000 + -0.0667x; linear_interpolation
28980 <= x < 29010; y966 = 17454.0000 + 0.6000x; linear_interpolation
29010 <= x < 29040; y967 = 3952.0000 + 0.1333x; linear_interpolation
29040 <= x < 29070; y968 = -19272.0000 + -0.6667x; linear_interpolation
29070 <= x < 29100; y969 = -901.0000 + -0.0333x; linear_interpolation
29100 <= x < 29130; y970 = 17527.0000 + 0.6000x; linear_interpolation
29130 <= x < 29160; y971 = -17393.0000 + -0.6000x; linear_interpolation
29160 <= x < 29190; y972 = 67.0000 + 0.0000x; linear_interpolation
29190 <= x < 29220; y973 = 21473.0000 + 0.7333x; linear_interpolation
29220 <= x < 29250; y974 = -4781.0000 + -0.1667x; linear_interpolation
29250 <= x < 29280; y975 = 3009.0000 + 0.1000x; linear_interpolation
29280 <= x < 29310; y976 = -18457.0000 + -0.6333x; linear_interpolation
29310 <= x < 29340; y977 = -1886.0000 + -0.0667x; linear_interpolation
29340 <= x < 29370; y978 = 2022.0000 + 0.0667x; linear_interpolation
29370 <= x < 29400; y979 = 68.0000 + 0.0000x; linear_interpolation
29400 <= x < 29430; y980 = 18688.0000 + 0.6333x; linear_interpolation
29430 <= x < 29460; y981 = -19533.0000 + -0.6667x; linear_interpolation
29460 <= x < 29490; y982 = 67.0000 + 0.0000x; linear_interpolation
29490 <= x < 29520; y983 = 19727.0000 + 0.6667x; linear_interpolation
29520 <= x < 29550; y984 = -18609.0000 + -0.6333x; linear_interpolation
29550 <= x < 29580; y985 = -2887.0000 + -0.1000x; linear_interpolation
29580 <= x < 29610; y986 = 3023.0000 + 0.1000x; linear_interpolation
29610 <= x < 29640; y987 = -3880.0000 + -0.1333x; linear_interpolation
29640 <= x < 29670; y988 = 19824.0000 + 0.6667x; linear_interpolation
29670 <= x < 29700; y989 = -905.0000 + -0.0333x; linear_interpolation
29700 <= x < 29730; y990 = 3053.0000 + 0.1000x; linear_interpolation
29730 <= x < 29760; y991 = -4869.0000 + -0.1667x; linear_interpolation
29760 <= x < 29790; y992 = 6033.0000 + 0.2000x; linear_interpolation
29790 <= x < 29820; y993 = -1899.0000 + -0.0667x; linear_interpolation
29820 <= x < 29850; y994 = -1903.0000 + -0.0667x; linear_interpolation
29850 <= x < 29880; y995 = -15837.0000 + -0.5333x; linear_interpolation
29880 <= x < 29910; y996 = 3055.0000 + 0.1000x; linear_interpolation
29910 <= x < 29940; y997 = 10040.0000 + 0.3333x; linear_interpolation
29940 <= x < 29970; y998 = -47824.0000 + -1.6000x; linear_interpolation
29970 <= x < 30000; y999 = -1966.0000 + -0.0667x; linear_interpolation
30000 <= x < 30030; y1000 = 51030.0000 + 1.7000x; linear_interpolation
30030 <= x < 30060; y1001 = -22942.0000 + -0.7667x; linear_interpolation
30060 <= x < 30090; y1002 = 12082.0000 + 0.4000x; linear_interpolation
30090 <= x < 30120; y1003 = -2939.0000 + -0.1000x; linear_interpolation
30120 <= x < 30150; y1004 = 3079.0000 + 0.1000x; linear_interpolation
30150 <= x < 30180; y1005 = -1940.0000 + -0.0667x; linear_interpolation
30180 <= x < 30210; y1006 = 16164.0000 + 0.5333x; linear_interpolation
30210 <= x < 30240; y1007 = -923.0000 + -0.0333x; linear_interpolation
30240 <= x < 30270; y1008 = -1933.0000 + -0.0667x; linear_interpolation
30270 <= x < 30300; y1009 = 4117.0000 + 0.1333x; linear_interpolation
30300 <= x < 30330; y1010 = -18095.0000 + -0.6000x; linear_interpolation
30330 <= x < 30360; y1011 = 21298.0000 + 0.7000x; linear_interpolation
30360 <= x < 30390; y1012 = -4972.0000 + -0.1667x; linear_interpolation
30390 <= x < 30420; y1013 = -16125.0000 + -0.5333x; linear_interpolation
30420 <= x < 30450; y1014 = 3109.0000 + 0.1000x; linear_interpolation
30450 <= x < 30480; y1015 = 17325.0000 + 0.5667x; linear_interpolation
30480 <= x < 30510; y1016 = -3977.0000 + -0.1333x; linear_interpolation
30510 <= x < 30540; y1017 = 4151.0000 + 0.1333x; linear_interpolation
30540 <= x < 30570; y1018 = -931.0000 + -0.0333x; linear_interpolation
30570 <= x < 30600; y1019 = -19275.0000 + -0.6333x; linear_interpolation
30600 <= x < 30630; y1020 = 19447.0000 + 0.6333x; linear_interpolation
30630 <= x < 30660; y1021 = -17271.0000 + -0.5667x; linear_interpolation
30660 <= x < 30690; y1022 = -1975.0000 + -0.0667x; linear_interpolation
30690 <= x < 30720; y1023 = 3136.0000 + 0.1000x; linear_interpolation
30720 <= x < 30750; y1024 = 18502.0000 + 0.6000x; linear_interpolation
30750 <= x < 30780; y1025 = -17337.0000 + -0.5667x; linear_interpolation
30780 <= x < 30810; y1026 = 16487.0000 + 0.5333x; linear_interpolation
30810 <= x < 30840; y1027 = -17372.0000 + -0.5667x; linear_interpolation
30840 <= x < 30870; y1028 = -6098.0000 + -0.2000x; linear_interpolation
30870 <= x < 30900; y1029 = 7267.0000 + 0.2333x; linear_interpolation
30900 <= x < 30930; y1030 = 17581.0000 + 0.5667x; linear_interpolation
30930 <= x < 30960; y1031 = -4036.0000 + -0.1333x; linear_interpolation
30960 <= x < 30990; y1032 = -22620.0000 + -0.7333x; linear_interpolation
30990 <= x < 31020; y1033 = 8326.0000 + 0.2667x; linear_interpolation
31020 <= x < 31050; y1034 = -3032.0000 + -0.1000x; linear_interpolation
31050 <= x < 31080; y1035 = 20767.0000 + 0.6667x; linear_interpolation
31080 <= x < 31110; y1036 = -18561.0000 + -0.6000x; linear_interpolation
31110 <= x < 31140; y1037 = 20809.0000 + 0.6667x; linear_interpolation
31140 <= x < 31170; y1038 = -949.0000 + -0.0333x; linear_interpolation
31170 <= x < 31200; y1039 = -18614.0000 + -0.6000x; linear_interpolation
31200 <= x < 31230; y1040 = -4090.0000 + -0.1333x; linear_interpolation
31230 <= x < 31260; y1041 = 21927.0000 + 0.7000x; linear_interpolation
31260 <= x < 31290; y1042 = -22837.0000 + -0.7333x; linear_interpolation
31290 <= x < 31320; y1043 = 24054.0000 + 0.7667x; linear_interpolation
31320 <= x < 31350; y1044 = -2000.0000 + -0.0667x; linear_interpolation
31350 <= x < 31380; y1045 = -8274.0000 + -0.2667x; linear_interpolation
31380 <= x < 31410; y1046 = 7400.0000 + 0.2333x; linear_interpolation
31410 <= x < 31440; y1047 = 4273.0000 + 0.1333x; linear_interpolation
31440 <= x < 31470; y1048 = -19823.0000 + -0.6333x; linear_interpolation
31470 <= x < 31500; y1049 = 17903.0000 + 0.5667x; linear_interpolation
31500 <= x < 31530; y1050 = -963.0000 + -0.0333x; linear_interpolation
31530 <= x < 31560; y1051 = 1137.0000 + 0.0333x; linear_interpolation
31560 <= x < 31590; y1052 = -2017.0000 + -0.0667x; linear_interpolation
31590 <= x < 31620; y1053 = -16763.0000 + -0.5333x; linear_interpolation
31620 <= x < 31650; y1054 = 69.0000 + 0.0000x; linear_interpolation
31650 <= x < 31680; y1055 = 20114.0000 + 0.6333x; linear_interpolation
31680 <= x < 31710; y1056 = -23144.0000 + -0.7333x; linear_interpolation
31710 <= x < 31740; y1057 = 20149.0000 + 0.6333x; linear_interpolation
31740 <= x < 31770; y1058 = 1143.0000 + 0.0333x; linear_interpolation
31770 <= x < 31800; y1059 = -20035.0000 + -0.6333x; linear_interpolation
31800 <= x < 31830; y1060 = 67.0000 + 0.0000x; linear_interpolation
31830 <= x < 31860; y1061 = 20226.0000 + 0.6333x; linear_interpolation
31860 <= x < 31890; y1062 = -16906.0000 + -0.5333x; linear_interpolation
31890 <= x < 31920; y1063 = 17078.0000 + 0.5333x; linear_interpolation
31920 <= x < 31950; y1064 = -978.0000 + -0.0333x; linear_interpolation
31950 <= x < 31980; y1065 = 1150.0000 + 0.0333x; linear_interpolation
31980 <= x < 32010; y1066 = 86.0000 + 0.0000x; linear_interpolation
32010 <= x < 32040; y1067 = -18053.0000 + -0.5667x; linear_interpolation
32040 <= x < 32070; y1068 = 1137.0000 + 0.0333x; linear_interpolation
32070 <= x < 32100; y1069 = -999.0000 + -0.0333x; linear_interpolation
32100 <= x < 32130; y1070 = -2071.0000 + -0.0667x; linear_interpolation
32130 <= x < 32160; y1071 = 6493.0000 + 0.2000x; linear_interpolation
32160 <= x < 32190; y1072 = 15081.0000 + 0.4667x; linear_interpolation
32190 <= x < 32220; y1073 = -6351.0000 + -0.2000x; linear_interpolation
32220 <= x < 32250; y1074 = -13881.0000 + -0.4333x; linear_interpolation
32250 <= x < 32280; y1075 = 3293.0000 + 0.1000x; linear_interpolation
32280 <= x < 32310; y1076 = -5309.0000 + -0.1667x; linear_interpolation
32310 <= x < 32340; y1077 = -32244.0000 + -1.0000x; linear_interpolation
32340 <= x < 32370; y1078 = -4276.0000 + -0.1333x; linear_interpolation
32370 <= x < 32400; y1079 = 49666.0000 + 1.5333x; linear_interpolation
32400 <= x < 32430; y1080 = 5478.0000 + 0.1667x; linear_interpolation
32430 <= x < 32460; y1081 = -7484.0000 + -0.2333x; linear_interpolation
32460 <= x < 32490; y1082 = 10896.0000 + 0.3333x; linear_interpolation
32490 <= x < 32520; y1083 = -16159.0000 + -0.5000x; linear_interpolation
32520 <= x < 32550; y1084 = 11995.0000 + 0.3667x; linear_interpolation
32550 <= x < 32580; y1085 = -18363.0000 + -0.5667x; linear_interpolation
32580 <= x < 32610; y1086 = 20699.0000 + 0.6333x; linear_interpolation
32610 <= x < 32640; y1087 = -20569.0000 + -0.6333x; linear_interpolation
32640 <= x < 32670; y1088 = 2241.0000 + 0.0667x; linear_interpolation
32670 <= x < 32700; y1089 = 8779.0000 + 0.2667x; linear_interpolation
32700 <= x < 32730; y1090 = 14245.0000 + 0.4333x; linear_interpolation
32730 <= x < 32760; y1091 = -3185.0000 + -0.1000x; linear_interpolation
32760 <= x < 32790; y1092 = -1007.0000 + -0.0333x; linear_interpolation
32790 <= x < 32820; y1093 = -20683.0000 + -0.6333x; linear_interpolation
32820 <= x < 32850; y1094 = 65.0000 + 0.0000x; linear_interpolation
32850 <= x < 32880; y1095 = 21965.0000 + 0.6667x; linear_interpolation
32880 <= x < 32910; y1096 = 85.0000 + 0.0000x; linear_interpolation
32910 <= x < 32940; y1097 = 85.0000 + 0.0000x; linear_interpolation
32940 <= x < 32970; y1098 = 2281.0000 + 0.0667x; linear_interpolation
32970 <= x < 33000; y1099 = -24091.0000 + -0.7333x; linear_interpolation
33000 <= x < 33030; y1100 = 2265.0000 + 0.0667x; linear_interpolation
33030 <= x < 33060; y1101 = 18784.0000 + 0.5667x; linear_interpolation
